"id","fdc_id","item_name","group_name","ndb_number","upc_number","manufacture","food_category","source","energy","protein","cholesterol","carbohydrate","lipid_fat","sugar","sodium","item_unit","item_quantity","description","food_type","is_detail_available","substitute_itemsids","substitute_recipeids","created_by","updated_by","deleted_by","is_active","is_deleted","created_on","updated_on","deleted_on"
"2","356425","Mochi Ice Cream Bonbons",,"45001524","019022128593","G. T. Japan, Inc.","Ice Cream & Frozen Yogurt","usda","200","2.50","25","35.00","6.25",,,"g","100","ICE CREAM details: MILK, CREAM, SUGAR, STRAWBERRIES (STRAWBERRIES, SUGAR), CORN SYRUP SOLIDS, SKIM MILK, WHEY, NATURAL FLAVOR, GUAR GUM, MONO & DIGLYCERIDES, BEET JUICE AND BEET POWDER (FOR COLOR), CELLULOSE GUM, LOCUST BEAN GUM, CARRAGEENAN. COATING details: SUGAR, WATER, RICE FLOUR, TREHALOSE, EGG WHITES, BEET JUICE AND BEET POWDER (FOR COLOR), DUSTED WITH CORN & POTATO STARCH",,"1",,,"0","0","0","1","0",,"1568118093",
"3","356426","Chipotle Barbecue Sauce",,"45001528","5051379043735","Fresh & Easy"," BBQ & Cheese Sauce","usda","162","0.00","0","43.24","0.00",,,"g","100","WATER, SUGAR, TOMATO PASTE, MOLASSES, DISTILLED VINEGAR, CONTAINS 2% OR LESS OF: CORN STARCH, SALT, DRIED CHIPOTLE PEPPER, NATURAL SMOKE FLAVOR, MUSTARD FLOUR, DRIED GARLIC, DRIED ONION, SPICES.",,"1",,,"0","0","0","1","0",,"1568118241",
"4","356427","Hot & Spicy Barbecue Sauce",,"45001529","5051379009434","Fresh & Easy"," BBQ & Cheese Sauce","usda","176","0.00","0","41.18","0.00",,,"g","100","SUGAR, WATER, DISTILLED VINEGAR, TOMATO PASTE, MOLASSES, MODIFIED CORN STARCH, SALT, PINEAPPLE JUICE CONCENTRATE, CONTAINS 1% OR LESS OF: JALAPENO PEPPERS, SPICE, CARAMEL COLOR, NATURAL FLAVOR, XANTHAN GUM, GARLIC POWDER, TAMARIND EXTRACT.",,"1",,,"0","0","0","1","0",,"1568118301",
"5","356428","Barbecue Sauce",,"45001530","5051379019969","Fresh & Easy"," BBQ & Cheese Sauce","usda","143","0.00","0","34.29","0.00",,,"g","100","TOMATO PUREE (WATER, TOMATO PASTE), SUGAR, DISTILLED VINEGAR, MOLASSES, WATER, MODIFIED CORN STARCH, SALT, BOURBON WHISKEY, CONTAINS 1% OR LESS OF: MUSTARD FLOUR, SPICE, DRIED ONION, DRIED GARLIC, NATURAL FLAVOR, XANTHAN GUM, CARAMEL COLOR.",,"1",,,"0","0","0","1","0",,"1568118305",
"6","356429","Barbecue Sauce",,"45001531","5051379009526","Fresh & Easy"," BBQ & Cheese Sauce","usda","189","0.00","0","45.95","0.00",,,"g","100","SUGAR, DISTILLED VINEGAR, WATER, TOMATO PASTE, HONEY, MOLASSES, MODIFIED CORN STARCH, SALT, CONTAINS 1% OR LESS OF: NATURAL FLAVOR, PINEAPPLE JUICE CONCENTRATE, SPICE, CARAMEL COLOR, XANTHAN GUM, GARLIC POWDER, TAMARIND EXTRACT.",,"1",,,"0","0","0","1","0",,"1568118362",
"7","356430","Original Barbecue Sauce",,"45001532","5051379019983","Fresh & Easy"," BBQ & Cheese Sauce","usda","189","0.00","0","48.65","0.00",,,"g","100","SUGAR, DISTILLED VINEGAR, WATER, TOMATO PASTE, MODIFIED CORN STARCH, MOLASSES, SALT, PINEAPPLE JUICE CONCENTRATE, CONTAINS 1% OR LESS OF: NATURAL FLAVOR, SPICE, CARAMEL COLOR, XANTHAN GUM, GARLIC POWDER, TAMARIND EXTRACT.",,"1",,,"0","0","0","1","0",,"1568118421",
"8","356431","Classic Barbecue Sauce",,"45001533","5051379019976","Fresh & Easy"," BBQ & Cheese Sauce","usda","143","0.00","0","34.29","0.00",,,"g","100","SUGAR, DISTILLED VINEGAR, WATER, TOMATO PUREE (WATER, TOMATO PASTE), MOLASSES, SALT, MODIFIED CORN STARCH, CONTAINS LESS THAN 1% OF: MUSTARD FLOUR, SPICE, CELERY SEED, NATURAL FLAVOR, XANTHAN GUM, PAPRIKA (FOR COLOR), CARAMEL COLOR.",,"1",,,"0","0","0","1","0",,"1568118481",
"9","356432","Hickory Barbecue Sauce",,"45001534","5051379009427","Fresh & Easy"," BBQ & Cheese Sauce","usda","139","0.00","0","36.11","0.00",,,"g","100","WATER, SUGAR, TOMATO PASTE, MOLASSES, DISTILLED VINEGAR, SALT, MODIFIED CORN STARCH, CONTAINS 1% OR LESS OF: NATURAL FLAVOR, MUSTARD FLOUR, SPICE, ONION POWDER, CARAMEL COLOR, XANTHAN GUM, GARLIC POWDER, OLEORESIN PAPRIKA.",,"1",,,"0","0","0","1","0",,"1568118541",
"10","356433","Steak Sauce",,"45001535","5051379020064","Fresh & Easy"," BBQ & Cheese Sauce","usda","100","0.00","0","20.00","0.00",,,"g","100","TOMATO PUREE, ONION PUREE, SUGAR, MOLASSES, DISTILLED VINEGAR, HORSERADISH, SALT, SOYBEAN OIL, ORANGE JUICE CONCENTRATE, LEMON JUICE CONCENTRATE, ANCHOVY PASTE (ANCHOVY, OLIVE OIL, ACETIC ACID), ROASTED GARLIC PUREE (GARLIC, WATER, NATURAL FLAVOR, CITRIC ACID), NATURAL FLAVOR, JALAPENO PUREE (JALAPENO CHILE, DISTILLED VINEGAR, SALT), SOY SAUCE (WATER, WHEAT, SOYBEAN, SALT), CHILI POWDER, MUSTARD FLOUR, XANTHAN GUM, BLACK PEPPER, CARAMEL COLORING, CLOVE POWDER.",,"1",,,"0","0","0","1","0",,"1568118602",
"11","356434","Fresh & Easy, Our Flavorful Mustard Is Perfect For Savory Sandwiches, Meats Or Snacks",,"45001536","5051379035044","Fresh & Easy"," BBQ & Cheese Sauce","usda","0","0.00","0","0.00","0.00",,,"g","100","ORGANIC GRAIN VINEGAR, WATER, ORGANIC MUSTARD SEED, SALT, ORGANIC TURMERIC, ORGANIC PAPRIKA, ORGANIC SPICES.",,"1",,,"0","0","0","1","0",,"1568118661",
