"id","restaurant_name","restaurant_id","user_id","latitude","longitude","visit_count","last_visit"
"1","BJ's Restaurant & Brewhouse","ChIJM75zpLa1j4ARd8IiWxkW30g","232","37.3313217","-122.0317877","0","1581160581"
"2","Cafe Torre","ChIJQdtcAa-1j4ARfDoFbeMI1ok","232","37.3235223","-122.0295914","0","1581160581"
"3","Park Place","ChIJ3R3vm661j4ARlf6j9PRE_P8","232","37.3214497","-122.0312698","0","1581160581"
"4","The Bistro – Eat. Drink. Connect.®","ChIJAV2t1pe1j4ARTTqf4Y9lgLU","232","37.3325238","-122.0151491","0","1581160581"
"5","Mariani's Inn & Restaurant","ChIJ352eomrKj4ARbeF9qPRatko","232","37.3520406","-121.9709216","0","1581160581"
"6","Dinah's Poolside Restaurant","ChIJxUf2lnm6j4AROxY8N4vkocM","232","37.4078768","-122.1199809","0","1581160581"
"7","Bytes Cafe & Bar","ChIJ2VdCXfC1j4AR169TZUM5WgU","232","37.3528474","-122.0020566","0","1581162124"
"8","Joy Restaurant","ChIJT_F3L5GGXjkRNPz0aas1u0k","232","23.0396908","72.6304506","0","1581310621"
"9","Shyam Shikhar Restaurant","ChIJ_WigvaCHXjkRm4gidhhvBPM","232","23.0390543","72.6302714","0","1581310621"
"10","Sankalp Restaurant","ChIJC09mNpGGXjkRrU8JUSkm1ug","232","23.0399631","72.6312186","0","1581310621"
