"Id","recipe_id","food_item_id","carbohydrate","protein","energy","lipid_fat","quantity","unit","eqv","food_type","substitute_item_id","substitute_type"
"1","29","6675","123","0","540","1.5","150","g","50","food_items","0",
"2","29","5126","0","0","0","0","100","g","0.25","food_items","0",
"3","29","24429","50","0","200","0","50","g","30","food_items","0",
"4","29","24089","26.35","4.05","111","0","150","g","148","food_items","0",
"18","84","238521","11.0","8.0","122","3.0","1","cup","244.0","food_items","0",
"19","84","239698","166.2","18.5","1153","27.7","240","g","240.0","food_items","0",
"20","84","239699","1.0","2.0","40","0.0","1","1 tbsp","7.0","food_items","0",
"21","84","239700","2.0","2.1","91","0.8","14","g","14.0","food_items","0",
"31","96","239507","14.4","86.6","1299","72.2","433","g","433.0","food_items","0",
"32","96","239289","12.5","0.8","52","0.0","125","g","125.0","food_items","0",
